dose,theta,fpr,recall,hit_cases
loud,1.02,0.131111,1.000000,P3-EXT-A|P3-SW-C
loud,1.04,0.095556,1.000000,P3-EXT-A|P3-SW-C
loud,1.06,0.063333,1.000000,P3-EXT-A|P3-SW-C
loud,1.08,0.062222,1.000000,P3-EXT-A|P3-SW-C
loud,1.1,0.062222,1.000000,P3-EXT-A|P3-SW-C
loud,1.12,0.044444,1.000000,P3-EXT-A|P3-SW-C
loud,1.14,0.026667,1.000000,P3-EXT-A|P3-SW-C
loud,1.16,0.007778,1.000000,P3-EXT-A|P3-SW-C
loud,1.18,0.007778,1.000000,P3-EXT-A|P3-SW-C
loud,1.2,0.007778,1.000000,P3-EXT-A|P3-SW-C
loud,1.22,0.007778,1.000000,P3-EXT-A|P3-SW-C
loud,1.24,0.007778,1.000000,P3-EXT-A|P3-SW-C
loud,1.26,0.007778,1.000000,P3-EXT-A|P3-SW-C
loud,1.28,0.004444,1.000000,P3-EXT-A|P3-SW-C
loud,1.3,0.004444,1.000000,P3-EXT-A|P3-SW-C
loud,1.32,0.004444,1.000000,P3-EXT-A|P3-SW-C
loud,1.34,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.36,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.38,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.4,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.42,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.44,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.46,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.48,0.000000,1.000000,P3-EXT-A|P3-SW-C
loud,1.5,0.000000,1.000000,P3-EXT-A|P3-SW-C
quiet,1.02,0.131111,1.000000,P3-EXT-A|P3-SW-C
quiet,1.04,0.095556,1.000000,P3-EXT-A|P3-SW-C
quiet,1.06,0.063333,1.000000,P3-EXT-A|P3-SW-C
quiet,1.08,0.062222,1.000000,P3-EXT-A|P3-SW-C
quiet,1.1,0.062222,1.000000,P3-EXT-A|P3-SW-C
quiet,1.12,0.044444,1.000000,P3-EXT-A|P3-SW-C
quiet,1.14,0.026667,1.000000,P3-EXT-A|P3-SW-C
quiet,1.16,0.007778,1.000000,P3-EXT-A|P3-SW-C
quiet,1.18,0.007778,1.000000,P3-EXT-A|P3-SW-C
quiet,1.2,0.007778,1.000000,P3-EXT-A|P3-SW-C
quiet,1.22,0.007778,1.000000,P3-EXT-A|P3-SW-C
quiet,1.24,0.007778,1.000000,P3-EXT-A|P3-SW-C
quiet,1.26,0.007778,0.500000,P3-SW-C
quiet,1.28,0.004444,0.500000,P3-SW-C
quiet,1.3,0.004444,0.500000,P3-SW-C
quiet,1.32,0.004444,0.500000,P3-SW-C
quiet,1.34,0.000000,0.500000,P3-SW-C
quiet,1.36,0.000000,0.500000,P3-SW-C
quiet,1.38,0.000000,0.500000,P3-SW-C
quiet,1.4,0.000000,0.500000,P3-SW-C
quiet,1.42,0.000000,0.500000,P3-SW-C
quiet,1.44,0.000000,0.500000,P3-SW-C
quiet,1.46,0.000000,0.500000,P3-SW-C
quiet,1.48,0.000000,0.500000,P3-SW-C
quiet,1.5,0.000000,0.500000,P3-SW-C
masked,1.02,0.131111,1.000000,P3-EXT-A|P3-SW-C
masked,1.04,0.095556,1.000000,P3-EXT-A|P3-SW-C
masked,1.06,0.063333,1.000000,P3-EXT-A|P3-SW-C
masked,1.08,0.062222,1.000000,P3-EXT-A|P3-SW-C
masked,1.1,0.062222,1.000000,P3-EXT-A|P3-SW-C
masked,1.12,0.044444,1.000000,P3-EXT-A|P3-SW-C
masked,1.14,0.026667,1.000000,P3-EXT-A|P3-SW-C
masked,1.16,0.007778,1.000000,P3-EXT-A|P3-SW-C
masked,1.18,0.007778,1.000000,P3-EXT-A|P3-SW-C
masked,1.2,0.007778,1.000000,P3-EXT-A|P3-SW-C
masked,1.22,0.007778,1.000000,P3-EXT-A|P3-SW-C
masked,1.24,0.007778,1.000000,P3-EXT-A|P3-SW-C
masked,1.26,0.007778,1.000000,P3-EXT-A|P3-SW-C
masked,1.28,0.004444,1.000000,P3-EXT-A|P3-SW-C
masked,1.3,0.004444,1.000000,P3-EXT-A|P3-SW-C
masked,1.32,0.004444,1.000000,P3-EXT-A|P3-SW-C
masked,1.34,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.36,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.38,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.4,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.42,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.44,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.46,0.000000,1.000000,P3-EXT-A|P3-SW-C
masked,1.48,0.000000,0.500000,P3-SW-C
masked,1.5,0.000000,0.500000,P3-SW-C
