case,W,enough,n_tt_steps,n_tt_rows,evidence,W_star,status
P3-SW-A,10,0,10,1456,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-A,25,0,25,3640,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-A,50,0,50,7280,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-A,100,0,100,14560,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-A,200,0,200,29120,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-A,full,0,301,43681,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-B,10,0,10,1456,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-B,25,0,25,3640,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-B,50,0,50,7280,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-B,100,0,100,14560,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-B,200,0,200,29120,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P3-SW-B,full,0,301,43681,rss_ring_misaligned_to_inject_window,,UNRESOLVED
P1-HW-B,10,0,10,1456,torch_trace_blind_in_inject:rise_mb=0.0:slope_mb=0.0:steps=291..300,,NO_W_STAR
P1-HW-B,25,0,25,3640,torch_trace_blind_in_inject:rise_mb=0.0:slope_mb=0.0:steps=276..300,,NO_W_STAR
P1-HW-B,50,0,50,7280,torch_trace_blind_in_inject:rise_mb=0.0:slope_mb=0.0:steps=251..300,,NO_W_STAR
P1-HW-B,100,0,100,14560,torch_trace_blind_in_inject:rise_mb=0.0:slope_mb=0.0:steps=201..300,,NO_W_STAR
P1-HW-B,200,0,200,29120,torch_trace_blind_in_inject:rise_mb=0.0:slope_mb=0.0:steps=101..300,,NO_W_STAR
P1-HW-B,full,0,201,43681,torch_trace_blind_in_inject:rise_mb=0.0:slope_mb=0.0:steps=100..300,,NO_W_STAR
P1-SW-C,10,0,10,1456,no_spike:top_step=296:dur_s=0.2056:med=0.1993:n_steps=10,100,OK
P1-SW-C,25,0,25,3640,no_spike:top_step=286:dur_s=0.2093:med=0.1991:n_steps=25,100,OK
P1-SW-C,50,0,50,7280,no_spike:top_step=286:dur_s=0.2093:med=0.1994:n_steps=50,100,OK
P1-SW-C,100,1,100,14560,torch_trace.duration_spike:step=238:dur_s=0.7115:med=0.1994:module=AdamW,100,OK
P1-SW-C,200,1,200,29120,torch_trace.duration_spike:step=238:dur_s=0.7115:med=0.2017:module=AdamW,100,OK
P1-SW-C,full,1,300,43681,torch_trace.duration_spike:step=238:dur_s=0.7115:med=0.2004:module=AdamW,100,OK
